point,encoder,dataset,kind,C,n_test,imbalance,method,acc,f1,ece,aurc,param
unixcoder/reveal,unixcoder,reveal,frozen_probe,2,2000,8.9,base,0.886,0.5533,0.0351,0.0496,
unixcoder/reveal,unixcoder,reveal,frozen_probe,2,2000,8.9,temp,0.886,0.5533,0.0216,0.0496,T=1.278
unixcoder/reveal,unixcoder,reveal,frozen_probe,2,2000,8.9,logit_adj,0.841,0.6152,0.0206,0.0627,tau=0.5
unixcoder/reveal,unixcoder,reveal,frozen_probe,2,2000,8.9,knn,0.8885,0.5646,0.0282,0.0471,lambda=0.9
unixcoder/reveal,unixcoder,reveal,frozen_probe,2,2000,8.9,gate,0.886,0.5533,0.0351,0.0496,"c=0.5,lambda=0.0"
unixcoder/reveal,unixcoder,reveal,frozen_probe,2,2000,8.9,temp_gate,0.886,0.5533,0.0216,0.0496,"T=1.28,c=0.5,lambda=0.0"
codet5p/reveal,codet5p,reveal,frozen_probe,2,2000,8.9,base,0.8985,0.4829,0.0166,0.0535,
codet5p/reveal,codet5p,reveal,frozen_probe,2,2000,8.9,temp,0.8985,0.4829,0.0223,0.0535,T=0.956
codet5p/reveal,codet5p,reveal,frozen_probe,2,2000,8.9,logit_adj,0.877,0.5938,0.0933,0.0563,tau=0.5
codet5p/reveal,codet5p,reveal,frozen_probe,2,2000,8.9,knn,0.8995,0.4926,0.0068,0.0508,lambda=0.9
codet5p/reveal,codet5p,reveal,frozen_probe,2,2000,8.9,gate,0.8995,0.5016,0.0162,0.061,"c=0.6,lambda=0.0"
codet5p/reveal,codet5p,reveal,frozen_probe,2,2000,8.9,temp_gate,0.8995,0.5016,0.0218,0.0609,"T=0.96,c=0.6,lambda=0.0"
codebert/primevul,codebert,primevul,frozen_probe,2,2000,36.04,base,0.973,0.4932,0.0097,0.0097,
codebert/primevul,codebert,primevul,frozen_probe,2,2000,36.04,temp,0.973,0.4932,0.0097,0.0097,T=1.004
codebert/primevul,codebert,primevul,frozen_probe,2,2000,36.04,logit_adj,0.872,0.5271,0.0595,0.0294,tau=0.75
codebert/primevul,codebert,primevul,frozen_probe,2,2000,36.04,knn,0.97,0.5085,0.0168,0.01,lambda=0.5
codebert/primevul,codebert,primevul,frozen_probe,2,2000,36.04,gate,0.973,0.4932,0.0097,0.0097,"c=0.5,lambda=0.0"
codebert/primevul,codebert,primevul,frozen_probe,2,2000,36.04,temp_gate,0.973,0.4932,0.0097,0.0097,"T=1.00,c=0.5,lambda=0.0"
graphcodebert/primevul,graphcodebert,primevul,frozen_probe,2,2000,36.04,base,0.973,0.4932,0.0062,0.0108,
graphcodebert/primevul,graphcodebert,primevul,frozen_probe,2,2000,36.04,temp,0.973,0.4932,0.005,0.0108,T=1.014
graphcodebert/primevul,graphcodebert,primevul,frozen_probe,2,2000,36.04,logit_adj,0.95,0.5407,0.065,0.012,tau=0.5
graphcodebert/primevul,graphcodebert,primevul,frozen_probe,2,2000,36.04,knn,0.973,0.4932,0.0062,0.0108,lambda=1.0
graphcodebert/primevul,graphcodebert,primevul,frozen_probe,2,2000,36.04,gate,0.973,0.4932,0.0062,0.0108,"c=0.5,lambda=0.0"
graphcodebert/primevul,graphcodebert,primevul,frozen_probe,2,2000,36.04,temp_gate,0.973,0.4932,0.005,0.0108,"T=1.01,c=0.5,lambda=0.0"
unixcoder/primevul,unixcoder,primevul,frozen_probe,2,2000,36.04,base,0.9575,0.4891,0.0205,0.0133,
unixcoder/primevul,unixcoder,primevul,frozen_probe,2,2000,36.04,temp,0.9575,0.4891,0.0197,0.0133,T=1.500
unixcoder/primevul,unixcoder,primevul,frozen_probe,2,2000,36.04,logit_adj,0.881,0.514,0.0337,0.0323,tau=0.75
unixcoder/primevul,unixcoder,primevul,frozen_probe,2,2000,36.04,knn,0.963,0.5281,0.022,0.0132,lambda=0.3
unixcoder/primevul,unixcoder,primevul,frozen_probe,2,2000,36.04,gate,0.965,0.5306,0.0228,0.0128,"c=0.95,lambda=0.2"
unixcoder/primevul,unixcoder,primevul,frozen_probe,2,2000,36.04,temp_gate,0.9675,0.534,0.0136,0.0127,"T=1.50,c=0.9,lambda=0.4"
codet5p/primevul,codet5p,primevul,frozen_probe,2,2000,36.04,base,0.973,0.4932,0.0035,0.0094,
codet5p/primevul,codet5p,primevul,frozen_probe,2,2000,36.04,temp,0.973,0.4932,0.003,0.0094,T=0.971
codet5p/primevul,codet5p,primevul,frozen_probe,2,2000,36.04,logit_adj,0.902,0.5442,0.1613,0.0184,tau=0.75
codet5p/primevul,codet5p,primevul,frozen_probe,2,2000,36.04,knn,0.973,0.4932,0.0069,0.01,lambda=0.7
codet5p/primevul,codet5p,primevul,frozen_probe,2,2000,36.04,gate,0.973,0.4932,0.0035,0.0094,"c=0.5,lambda=0.0"
codet5p/primevul,codet5p,primevul,frozen_probe,2,2000,36.04,temp_gate,0.973,0.4932,0.003,0.0094,"T=0.97,c=0.5,lambda=0.0"
codebert/diversevul,codebert,diversevul,frozen_probe,2,2000,16.09,base,0.941,0.4848,0.0091,0.0223,
codebert/diversevul,codebert,diversevul,frozen_probe,2,2000,16.09,temp,0.941,0.4848,0.0068,0.0223,T=1.051
codebert/diversevul,codebert,diversevul,frozen_probe,2,2000,16.09,logit_adj,0.8345,0.5696,0.075,0.0517,tau=0.75
codebert/diversevul,codebert,diversevul,frozen_probe,2,2000,16.09,knn,0.941,0.4848,0.0145,0.0223,lambda=0.8
